cid	frag_id2neighbors
"258"	{"1": [22], "2": [3, 22], "3": [2, 4], "4": [3, 23], "5": [6, 23], "6": [5, 24], "7": [24], "8": [9, 24], "9": [8, 20], "10": [20, 25], "11": [25], "12": [25], "13": [20, 21], "14": [21], "15": [21], "16": [23], "17": [22, 26], "18": [26], "19": [26], "20": [9, 10, 13], "21": [13, 14, 15], "22": [1, 2, 17], "23": [4, 5, 16], "24": [6, 7, 8], "25": [10, 11, 12], "26": [17, 18, 19]}
"6076"	{"1": [7, 10], "2": [9], "3": [7], "4": [10], "5": [10], "6": [7, 8], "7": [6, 3, 1], "8": [6, 9], "9": [2, 8], "10": [4, 5, 1]}
"287"	{"1": [18, 4], "2": [19], "3": [19], "4": [5, 1], "5": [4, 6], "6": [5, 20], "7": [20], "8": [20, 21], "9": [21, 22], "10": [11, 22], "11": [10, 12], "12": [11, 23], "13": [23], "14": [23], "15": [23], "16": [22], "17": [21], "18": [1, 19], "19": [18, 2, 3], "20": [6, 7, 8], "21": [8, 9, 17], "22": [9, 10, 16], "23": [12, 13, 14, 15]}
"6132"	{"1": [16, 2, 3], "2": [1], "3": [1, 17], "4": [5, 17], "5": [4, 6], "6": [5, 18], "7": [18], "8": [18], "9": [10, 18], "10": [9, 19], "11": [19], "12": [19], "13": [19], "14": [17], "15": [17], "16": [1], "17": [3, 4, 14, 15], "18": [6, 7, 8, 9], "19": [10, 11, 12, 13]}
"292"	{"1": [22, 2, 3], "2": [1], "3": [1, 23], "4": [5, 23], "5": [4, 6], "6": [5, 25], "7": [25], "8": [25], "9": [10, 25], "10": [9, 26], "11": [26], "12": [26], "13": [14, 26], "14": [13, 24], "15": [16, 24], "16": [15], "17": [24], "18": [24], "19": [24], "20": [23], "21": [23], "22": [1], "23": [3, 4, 20, 21], "24": [14, 15, 17, 18, 19], "25": [6, 7, 8, 9], "26": [10, 11, 12, 13]}
"293"	{"1": [19, 2, 3], "2": [1], "3": [1, 20], "4": [5, 20], "5": [4, 6], "6": [5, 21], "7": [21], "8": [21], "9": [10, 21], "10": [9, 22], "11": [22], "12": [22], "13": [14, 22], "14": [13, 15], "15": [14, 16], "16": [15], "17": [20], "18": [20], "19": [1], "20": [3, 4, 17, 18], "21": [6, 7, 8, 9], "22": [10, 11, 12, 13]}
"6255"	{"1": [12], "2": [3, 13], "3": [2, 14], "4": [14], "5": [14], "6": [14], "7": [8, 14], "8": [7], "9": [13], "10": [13], "11": [13], "12": [1, 13], "13": [12, 2, 9, 10, 11], "14": [3, 4, 5, 6, 7]}
"295"	{"1": [8, 11], "2": [10], "3": [10], "4": [8], "5": [11], "6": [11], "7": [8, 9], "8": [7, 4, 1], "9": [7, 10], "10": [2, 3, 9], "11": [5, 6, 1]}
"299"	{"1": [14, 8, 11, 15], "2": [15], "3": [16], "4": [16], "5": [15], "6": [15], "7": [15], "8": [1], "9": [15], "10": [15], "11": [1], "12": [15], "13": [15], "14": [1], "15": [2, 5, 6, 7, 9, 10, 12, 13, 1, 16], "16": [3, 4, 15]}
"302"	{"1": [17], "2": [3, 17], "3": [2, 4], "4": [3, 18], "5": [18], "6": [18], "7": [13, 17], "8": [15], "9": [16], "10": [16], "11": [14], "12": [14], "13": [7, 14], "14": [11, 12, 13, 15], "15": [8, 14, 16], "16": [9, 10, 15], "17": [1, 2, 7], "18": [4, 5, 6]}
"6676"	{"1": [17], "2": [3, 17], "3": [2, 4], "4": [3, 18], "5": [18], "6": [18], "7": [13, 17], "8": [16], "9": [16], "10": [15], "11": [14], "12": [14], "13": [7, 14], "14": [11, 12, 13, 15], "15": [10, 14, 16], "16": [8, 9, 15], "17": [1, 2, 7], "18": [4, 5, 6]}
"5997"	{"1": [16], "2": [16], "3": [4, 16], "4": [3, 5], "5": [4, 6], "6": [5, 17], "7": [17], "8": [12, 17], "9": [15], "10": [15], "11": [13], "12": [8, 13], "13": [11, 12, 14], "14": [13, 15], "15": [9, 10, 14], "16": [1, 2, 3], "17": [6, 7, 8]}
"306"	{"1": [12], "2": [12, 13], "3": [13], "4": [13], "5": [6, 12], "6": [5, 11], "7": [11], "8": [11, 14], "9": [14], "10": [14], "11": [6, 7, 8], "12": [1, 2, 5], "13": [2, 3, 4], "14": [8, 9, 10]}
"6131"	{"1": [12, 2, 3], "2": [1], "3": [1, 13], "4": [5, 13], "5": [4, 6], "6": [5, 14], "7": [14], "8": [14], "9": [14], "10": [13], "11": [13], "12": [1], "13": [3, 4, 10, 11], "14": [6, 7, 8, 9]}
